sector|industry_group|industry|sub_industry
Energy|Energy|Energy Equipment & Services|Oil & Gas Drilling
Energy|Energy|Energy Equipment & Services|Oil & Gas Equipment & Services
Energy|Energy|Oil, Gas & Consumable Fuels|Integrated Oil & Gas
Energy|Energy|Oil, Gas & Consumable Fuels|Oil & Gas Exploration & Production
Energy|Energy|Oil, Gas & Consumable Fuels|Oil & Gas Refining & Marketing
Energy|Energy|Oil, Gas & Consumable Fuels|Oil & Gas Storage & Transportation
Energy|Energy|Oil, Gas & Consumable Fuels|Coal & Consumable Fuels
Materials|Materials|Chemicals|Commodity Chemicals
Materials|Materials|Chemicals|Diversified Chemicals
Materials|Materials|Chemicals|Fertilizers & Agricultural Chemicals
Materials|Materials|Chemicals|Industrial Gases
Materials|Materials|Chemicals|Specialty Chemicals
Materials|Materials|Construction Materials|Construction Materials
Materials|Materials|Containers & Packaging|Metal, Glass & Plastic Containers
Materials|Materials|Containers & Packaging|Paper & Plastic Packaging Products & Materials
Materials|Materials|Metals & Mining|Aluminum
Materials|Materials|Metals & Mining|Diversified Metals & Mining
Materials|Materials|Metals & Mining|Copper
Materials|Materials|Metals & Mining|Gold
Materials|Materials|Metals & Mining|Precious Metals & Minerals
Materials|Materials|Metals & Mining|Silver
Materials|Materials|Metals & Mining|Steel
Materials|Materials|Paper & Forest Products|Forest Products
Materials|Materials|Paper & Forest Products|Paper Products
Industrials|Capital Goods|Aerospace & Defense|Aerospace & Defense
Industrials|Capital Goods|Building Products|Building Products
Industrials|Capital Goods|Construction & Engineering|Construction & Engineering
Industrials|Capital Goods|Electrical Equipment|Electrical Components & Equipment
Industrials|Capital Goods|Electrical Equipment|Heavy Electrical Equipment
Industrials|Capital Goods|Industrial Conglomerates|Industrial Conglomerates
Industrials|Capital Goods|Machinery|Construction Machinery & Heavy Transportation Equipment
Industrials|Capital Goods|Machinery|Agricultural & Farm Machinery
Industrials|Capital Goods|Machinery|Industrial Machinery & Supplies & Components
Industrials|Capital Goods|Trading Companies & Distributors|Trading Companies & Distributors
Industrials|Commercial & Professional Services|Commercial Services & Supplies|Commercial Printing
Industrials|Commercial & Professional Services|Commercial Services & Supplies|Environmental & Facilities Services
Industrials|Commercial & Professional Services|Commercial Services & Supplies|Office Services & Supplies
Industrials|Commercial & Professional Services|Commercial Services & Supplies|Diversified Support Services
Industrials|Commercial & Professional Services|Commercial Services & Supplies|Security & Alarm Services
Industrials|Commercial & Professional Services|Professional Services|Human Resource & Employment Services
Industrials|Commercial & Professional Services|Professional Services|Research & Consulting Services
Industrials|Commercial & Professional Services|Professional Services|Data Processing & Outsourced Services
Industrials|Transportation|Air Freight & Logistics|Air Freight & Logistics
Industrials|Transportation|Passenger Airlines|Passenger Airlines
Industrials|Transportation|Marine Transportation|Marine Transportation
Industrials|Transportation|Ground Transportation|Rail Transportation
Industrials|Transportation|Ground Transportation|Cargo Ground Transportation
Industrials|Transportation|Ground Transportation|Passenger Ground Transportation
Industrials|Transportation|Transportation Infrastructure|Airport Services
Industrials|Transportation|Transportation Infrastructure|Highways & Railtracks
Industrials|Transportation|Transportation Infrastructure|Marine Ports & Services
Consumer Discretionary|Automobiles & Components|Automobile Components|Automotive Parts & Equipment
Consumer Discretionary|Automobiles & Components|Automobile Components|Tires & Rubber
Consumer Discretionary|Automobiles & Components|Automobiles|Automobile Manufacturers
Consumer Discretionary|Automobiles & Components|Automobiles|Motorcycle Manufacturers
Consumer Discretionary|Consumer Durables & Apparel|Household Durables|Consumer Electronics
Consumer Discretionary|Consumer Durables & Apparel|Household Durables|Home Furnishings
Consumer Discretionary|Consumer Durables & Apparel|Household Durables|Homebuilding
Consumer Discretionary|Consumer Durables & Apparel|Household Durables|Household Appliances
Consumer Discretionary|Consumer Durables & Apparel|Household Durables|Housewares & Specialties
Consumer Discretionary|Consumer Durables & Apparel|Leisure Products|Leisure Products
